COMPNOS,NatureCode,INCIDENT_TYPE_DESCRIPTION,MAIN_CRIMECODE,REPTDISTRICT,REPORTINGAREA,FROMDATE,WEAPONTYPE,Shooting,DOMESTIC,SHIFT,Year,Month,DAY_WEEK,UCRPART,X,Y,STREETNAME,XSTREETNAME,Geo,Latitude,Longitude,Latitude_Fixed,Longitude_Fixed,postcode
140344990,ARREST,DISORDERLY,24xx,A1,111,6/2/2014 8:19,Unarmed,No,No,Day,2014,6,Monday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
140356088,ARREST,DISORDERLY,24xx,A1,111,6/6/2014 12:55,Unarmed,No,No,Day,2014,6,Friday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
152015496,ARREST,DISORDERLY,24xx,A1,0,2/26/2015 10:50,Unarmed,No,No,Day,2015,2,Thursday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
152017362,ARREST,DISORDERLY,24xx,A1,0,3/4/2015 9:00,Unarmed,No,No,Day,2015,3,Wednesday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
152038805,ARREST,DISORDERLY,24xx,A1,0,5/12/2015 12:00,Unarmed,No,No,Day,2015,5,Tuesday,Part Two,774107.7181,2953709.249,BOYLSTON ST,,"42.35230134, -71.06367456",(42.35230134, -71.06367456),42.35230134,-71.06367456,2116
152031406,ARREST,DISORDERLY,24xx,D4,0,4/17/2015 16:35,Unarmed,No,No,First,2015,4,Friday,Part Two,769991.2424,2947342.056,WASHINGTON ST,,"42.33488635, -71.07901956",(42.33488635, -71.07901956),42.33488635,-71.07901956,2118
142001604,FIGHT,DISORDERLY,24xx,D4,0,6/21/2014 21:30,Unarmed,No,No,First,2014,6,Saturday,Part Two,769869.848,2947560.114,LENOX ST,,"42.33548635, -71.07946455",(42.33548635, -71.07946455),42.33548635,-71.07946455,2118
142027541,CD19,PubDrink,PubDrink,D4,0,9/8/2014 18:15,Unarmed,No,No,First,2014,9,Monday,Part Two,769600.5096,2947622.561,SHAWMUT AV,,"42.33566135, -71.08045956",(42.33566135, -71.08045956),42.33566135,-71.08045956,2118
,IVPER,Disorderly Conduct,24xx,D4,155,6/29/2015 0:00,None,No,No,,2015,6,Monday,Part Two,769341,2950000,COLUMBUS AVE,NULL,"42.34081589965, -71.0813837983087",(42.34081589965, -71.0813837983087),42.3408159,-71.0813838,2118
,CD35,Liquor Violation,22xx,D4,284,7/5/2015 0:00,None,No,No,,2015,7,Sunday,Part Two,769025,2950000,MASSACHUSETTS AVE,NULL,"42.3410700475021, -71.0825528714341",(42.3410700475021, -71.0825528714341),42.34107005,-71.08255287,2118
142028072,ARREST,PubDrink,PubDrink,D4,0,9/10/2014 13:10,Unarmed,No,No,Day,2014,9,Wednesday,Part Two,768998.8176,2949633.397,MASSACHUSETTS AV,,"42.34118725, -71.08264852",(42.34118725, -71.08264852),42.34118725,-71.08264852,2118
130523010,HARPT ,DISORDERLY,24xx,E13,577,8/17/2013 16:00,Unarmed,No,No,First,2013,8,Saturday,Part Two,764696.9253,2940201.124,WASHINGTON ST,,"42.31536135, -71.09872455",(42.31536135, -71.09872455),42.31536135,-71.09872455,2119
140271408,ARREST,DISORDERLY,24xx,E13,307,5/3/2014 20:17,Unarmed,No,No,First,2014,5,Saturday,Part Two,764696.9253,2940201.124,WASHINGTON ST,,"42.31536135, -71.09872455",(42.31536135, -71.09872455),42.31536135,-71.09872455,2119
120436192,ARREST,DISORDERLY,24xx,E13,0,7/15/2012 17:27,Unarmed,No,No,First,2012,7,Sunday,Part Two,764765.4479,2940296.197,ATHERTON ST,WASHINGTON ST,"42.31562136, -71.09846955",(42.31562136, -71.09846955),42.31562136,-71.09846955,2119
142004591,FIGHT,DISORDERLY,24xx,B2,0,6/30/2014 18:05,Unarmed,No,No,First,2014,6,Monday,Part Two,768625.9666,2945090.491,DUDLEY ST,,"42.32872635, -71.08410955",(42.32872635, -71.08410955),42.32872635,-71.08410955,2119
152020057,IVPER,DISORDERLY,24xx,B2,0,3/12/2015 17:00,Unarmed,No,No,First,2015,3,Thursday,Part Two,768625.9666,2945090.491,DUDLEY ST,,"42.32872635, -71.08410955",(42.32872635, -71.08410955),42.32872635,-71.08410955,2119
,IVPER,Liquor Violation,22xx,B2,280,7/13/2015 0:00,None,No,No,,2015,7,Monday,Part Two,768432,2950000,WASHINGTON ST,NULL,"42.3292590534027, -71.0848240174344",(42.3292590534027, -71.0848240174344),42.32925905,-71.08482402,2119
120670475,IVPER ,DISORDERLY,24xx,B2,282,10/24/2012 14:22,Unarmed,No,No,Day,2012,10,Wednesday,Part Two,768452.5418,2945326.172,WASHINGTON ST,,"42.32937538, -71.08474665",(42.32937538, -71.08474665),42.32937538,-71.08474665,2119
120793712,IVPER ,DISORDERLY,24xx,B2,280,12/19/2012 13:19,Unarmed,No,No,Day,2012,12,Wednesday,Part Two,768827.5862,2945333.818,WARREN ST,ZEIGLER ST,"42.32939135, -71.08335956",(42.32939135, -71.08335956),42.32939135,-71.08335956,2119
130062240,IVPER ,DISORDERLY,24xx,B2,280,1/30/2013 16:00,Unarmed,No,No,First,2013,1,Wednesday,Part Two,768713.5278,2945370.85,ZEIGLER ST,,"42.32949449, -71.08378069",(42.32949449, -71.08378069),42.32949449,-71.08378069,2119
130193550,ARREST,DISORDERLY,24xx,B2,280,4/2/2013 17:13,Unarmed,No,No,First,2013,4,Tuesday,Part Two,768713.5278,2945370.85,ZEIGLER ST,,"42.32949449, -71.08378069",(42.32949449, -71.08378069),42.32949449,-71.08378069,2119
130612675,ARREST,DISORDERLY,24xx,B2,0,9/25/2013 17:50,Other,No,No,First,2013,9,Wednesday,Part Two,768713.5278,2945370.85,ZEIGLER ST,,"42.32949449, -71.08378069",(42.32949449, -71.08378069),42.32949449,-71.08378069,2119
140116462,ARREST,DISORDERLY,24xx,B2,280,2/24/2014 21:00,Unarmed,No,No,First,2014,2,Monday,Part Two,768713.5278,2945370.85,ZEIGLER ST,,"42.32949449, -71.08378069",(42.32949449, -71.08378069),42.32949449,-71.08378069,2119
152028148,ARREST,DISORDERLY,24xx,B2,0,4/7/2015 10:40,Unarmed,No,No,Day,2015,4,Tuesday,Part Two,768713.5278,2945370.85,ZEIGLER ST,,"42.32949449, -71.08378069",(42.32949449, -71.08378069),42.32949449,-71.08378069,2119
152036414,IVPER,DISORDERLY,24xx,B2,0,5/4/2015 17:10,Unarmed,No,No,First,2015,5,Monday,Part Two,768713.5278,2945370.85,ZEIGLER ST,,"42.32949449, -71.08378069",(42.32949449, -71.08378069),42.32949449,-71.08378069,2119
130058063,SSTOP ,DISORDERLY,24xx,B2,288,1/28/2013 17:56,Other,No,No,First,2013,1,Monday,Part Two,768511.9472,2945459.828,WASHINGTON ST,,"42.32974135, -71.08452455",(42.32974135, -71.08452455),42.32974135,-71.08452455,2119
130489636,ARREST,DISORDERLY,24xx,B2,288,8/5/2013 18:41,Other,No,No,First,2013,8,Monday,Part Two,768537.3691,2945514.615,WASHINGTON ST,MARVIN ST,"42.32989135, -71.08442956",(42.32989135, -71.08442956),42.32989135,-71.08442956,2119
152049092,IVPER,PubDrink,PubDrink,B2,0,6/13/2015 17:30,Unarmed,No,No,First,2015,6,Saturday,Part Two,768961.3803,2945892.07,WASHINGTON ST,RUGGLES ST,"42.33092142, -71.08285467",(42.33092142, -71.08285467),42.33092142,-71.08285467,2119
120670886,ARREST,DISORDERLY,24xx,B2,588,10/24/2012 17:30,Unarmed,No,No,First,2012,10,Wednesday,Part Two,765370.665,2946140.795,TREMONT ST,TERRACE ST,"42.33165135, -71.09612955",(42.33165135, -71.09612955),42.33165135,-71.09612955,2120
,DISTRB,Liquor Violation,22xx,B2,603,6/21/2015 0:00,None,No,No,,2015,6,Sunday,Part Two,763510,2950000,TREMONT ST,NULL,"42.3335587019661, -71.1029996669656",(42.3335587019661, -71.1029996669656),42.3335587,-71.10299967,2120
130680212,ARREST,DISORDERLY,24xx,C11,352,10/25/2013 12:08,Unarmed,No,No,Day,2013,10,Friday,Part Two,774810.2974,2934852.339,CHARLES ST,,"42.30054739, -71.06143409",(42.30054739, -71.06143409),42.30054739,-71.06143409,2122
142053954,IVPER,DISORDERLY,24xx,C11,0,12/2/2014 11:30,Firearm,No,No,Day,2014,12,Tuesday,Part Two,774810.2974,2934852.339,CHARLES ST,,"42.30054739, -71.06143409",(42.30054739, -71.06143409),42.30054739,-71.06143409,2122
152033139,ARREST,DISORDERLY,24xx,C11,0,4/23/2015 17:39,Unarmed,No,No,First,2015,4,Thursday,Part Two,774810.2974,2934852.339,CHARLES ST,,"42.30054739, -71.06143409",(42.30054739, -71.06143409),42.30054739,-71.06143409,2122
152046139,IVPER,DISORDERLY,24xx,C11,0,6/4/2015 11:55,Other,No,No,Day,2015,6,Thursday,Part Two,774810.2974,2934852.339,CHARLES ST,,"42.30054739, -71.06143409",(42.30054739, -71.06143409),42.30054739,-71.06143409,2122
152044824,AB,DISORDERLY,24xx,B3,0,5/30/2015 23:30,Unarmed,No,No,First,2015,5,Saturday,Part Two,767009.0082,2927615.818,HOSMER ST,,"42.28079637, -71.09039953",(42.28079637, -71.09039953),42.28079637,-71.09039953,2126
152045118,DISTRB,DISORDERLY,24xx,B3,0,6/1/2015 3:30,Unarmed,No,No,Last,2015,6,Monday,Part Two,767009.0082,2927615.818,HOSMER ST,,"42.28079637, -71.09039953",(42.28079637, -71.09039953),42.28079637,-71.09039953,2126
140362716,ARREST,DISORDERLY,24xx,B3,428,6/9/2014 1:38,Unarmed,No,No,Last,2014,6,Monday,Part Two,767092.9913,2927876.778,WOOLSON ST,,"42.28151136, -71.09008455",(42.28151136, -71.09008455),42.28151136,-71.09008455,2126
130158546,ARREST,DISORDERLY,24xx,C6,174,3/17/2013 16:15,Unarmed,No,No,First,2013,3,Sunday,Part Two,775752.0777,2945459.789,SOUTHAMPTON ST,DORCHESTER AV,"42.32964135, -71.05774956",(42.32964135, -71.05774956),42.32964135,-71.05774956,2127
152022753,NIDV,DISORDERLY,24xx,C6,0,3/21/2015 1:40,Unarmed,No,No,Last,2015,3,Saturday,Part Two,776576.3766,2947395.731,W 9TH ST,,"42.33494187, -71.05466382",(42.33494187, -71.05466382),42.33494187,-71.05466382,2127
120492049,IVPER ,DISORDERLY,24xx,A7,29,8/8/2012 10:30,Unarmed,No,No,Day,2012,8,Wednesday,Part Two,781035.0096,2960086.803,BREMEN ST,MAVERICK ST,"42.36970135, -71.03791957",(42.36970135, -71.03791957),42.36970135,-71.03791957,2128
142056122,IVPER,DISORDERLY,24xx,E13,0,12/10/2014 7:30,Unarmed,No,No,Day,2014,12,Wednesday,Part Two,760154.3654,2937829.798,SOUTH ST,,"42.30891172, -71.11555932",(42.30891172, -71.11555932),42.30891172,-71.11555932,2130
140359299,LMUSIC,DISORDERLY,24xx,E13,645,6/7/2014 17:33,Unarmed,No,No,First,2014,6,Saturday,Part Two,761581.6231,2938913.015,GREEN ST,,"42.31186635, -71.11026454",(42.31186635, -71.11026454),42.31186635,-71.11026454,2130
130079810,ABIP  ,DISORDERLY,24xx,E13,636,2/7/2013 17:03,Unarmed,No,No,First,2013,2,Thursday,Part Two,761731.236,2941978.511,PAUL GORE ST,,"42.32027635, -71.10965954",(42.32027635, -71.10965954),42.32027635,-71.10965954,2130
130684394,ARREST,DISORDERLY,24xx,E13,912,10/27/2013 2:40,Unarmed,No,No,Last,2013,10,Sunday,Part Two,764327.298,2942892.567,CENTRE ST,,"42.32275156, -71.10004452",(42.32275156, -71.10004452),42.32275156,-71.10004452,2130
140100420,INVCHD,DISORDERLY,24xx,D14,793,2/17/2014 17:40,Unarmed,No,No,First,2014,2,Monday,Part Two,755074.9875,2952417.195,COMMONWEALTH AV,,"42.34900151, -71.13410611",(42.34900151, -71.13410611),42.34900151,-71.13410611,2134
,IVPER,Disorderly Conduct,24xx,D14,794,8/2/2015 0:00,None,No,No,,2015,8,Sunday,Part Two,755064,2950000,COMMONWEALTH AVE,NULL,"42.349065773065, -71.1341469624778",(42.349065773065, -71.1341469624778),42.34906577,-71.13414696,2134
142033165,BE,DISORDERLY,24xx,D14,0,9/26/2014 1:20,Other,No,No,Last,2014,9,Friday,Part Two,756060.5505,2953022.06,COMMONWEALTH AV,,"42.35064962, -71.13045054",(42.35064962, -71.13045054),42.35064962,-71.13045054,2134
130203577,PARTY ,DISORDERLY,24xx,D14,774,4/7/2013 0:30,Unarmed,No,No,Last,2013,4,Sunday,Part Two,748969.9128,2949102.514,SOUTH ST,,"42.33997553, -71.15673985",(42.33997553, -71.15673985),42.33997553,-71.15673985,2135
152034649,DISTRB,DISORDERLY,24xx,D14,0,4/20/2015 9:25,Unarmed,No,No,Day,2015,4,Monday,Part Two,748969.9128,2949102.514,SOUTH ST,,"42.33997553, -71.15673985",(42.33997553, -71.15673985),42.33997553,-71.15673985,2135
152041714,IVPER,DISORDERLY,24xx,D14,0,5/21/2015 9:30,Unarmed,No,No,Day,2015,5,Thursday,Part Two,752752.209,2950750.971,COMMONWEALTH AV,WASHINGTON ST,"42.34445635, -71.14272454",(42.34445635, -71.14272454),42.34445635,-71.14272454,2135
130252395,ARREST,DISORDERLY,24xx,D14,795,4/29/2013 14:30,Unarmed,No,No,Day,2013,4,Monday,Part Two,753382.3782,2952289.676,COMMONWEALTH AV,WARREN ST,"42.34867135, -71.14036954",(42.34867135, -71.14036954),42.34867135,-71.14036954,2135
130252279,ARREST,DISORDERLY,24xx,D14,786,4/29/2013 14:44,Unarmed,No,No,Day,2013,4,Monday,Part Two,753382.3782,2952289.676,COMMONWEALTH AV,WARREN ST,"42.34867135, -71.14036954",(42.34867135, -71.14036954),42.34867135,-71.14036954,2135
120432587,ABRPT ,DISORDERLY,24xx,E18,522,7/14/2012 0:29,Unarmed,No,No,Last,2012,7,Saturday,Part Two,757605.5093,2917060.857,HYDE PARK AV,,"42.25195136, -71.12531955",(42.25195136, -71.12531955),42.25195136,-71.12531955,2136
152036870,DISTRB,DISORDERLY,24xx,E5,0,5/3/2015 1:40,Unarmed,No,No,Last,2015,5,Sunday,Part Two,751993.909,2918541.294,MARGARETTA DR,CROWN POINT DR,"42.25607959, -71.14602395",(42.25607959, -71.14602395),42.25607959,-71.14602395,2136
140141901,ARREST,OPERATING UNDER INFLUENCE,21xx,C11,351,3/8/2014 1:58,Unarmed,No,No,Last,2014,3,Saturday,Part Two,773078.4134,2924506.257,ADAMS ST,DORCHESTER AV,"42.27218137, -71.06802957",(42.27218137, -71.06802957),42.27218137,-71.06802957,2186
130400931,ARREST,DISORDERLY,24xx,A1,0,6/30/2013 16:55,Other,No,No,First,2013,6,Sunday,Part Two,775832.3331,2956566.147,CITY HALL PZ,,"42.36011634, -71.05723956",(42.36011634, -71.05723956),42.36011634,-71.05723956,2203
130259518,AOD   ,DISORDERLY,24xx,A1,94,5/2/2013 14:40,Unarmed,No,No,Day,2013,5,Thursday,Part Two,775813.1021,2956626.178,CONGRESS ST,NORTH ST,"42.36028135, -71.05730957",(42.36028135, -71.05730957),42.36028135,-71.05730957,2203
120455050,ARREST,DISORDERLY,24xx,D4,620,7/23/2012 20:43,Unarmed,No,No,First,2012,7,Monday,Part Two,767541.5577,2951821.658,BOYLSTON ST,,"42.34721134, -71.08799955",(42.34721134, -71.08799955),42.34721134,-71.08799955,2215
142055316,IVPREM,DISORDERLY,24xx,D14,0,12/6/2014 22:56,Unarmed,No,No,First,2014,12,Saturday,Part Two,759132.7976,2953383.027,COMMONWEALTH AV,,"42.35160304, -71.1190792",(42.35160304, -71.1190792),42.35160304,-71.1190792,2215
130697483,ARREST,OPERATING UNDER INFLUENCE,21xx,B3,426,11/2/2013 2:06,Other,No,No,Last,2013,11,Saturday,Part Two,766461.2137,2923125.834,RIVER ST,,"42.26848274, -71.09250305",(42.26848274, -71.09250305),42.26848274,-71.09250305,2126
130234349,MVAINJ,OPERATING UNDER INFLUENCE,21xx,E18,548,4/21/2013 3:21,Unarmed,No,No,Last,2013,4,Sunday,Part Two,755753.0035,2923678.741,POPLAR ST,,"42.27013352, -71.13205654",(42.27013352, -71.13205654),42.27013352,-71.13205654,2131
142013539,ARREST,OPERATING UNDER INFLUENCE,21xx,E5,0,7/27/2014 20:16,Unarmed,No,No,First,2014,7,Sunday,Part Two,755351.8583,2929916.243,S FAIRVIEW ST,,"42.28725444, -71.1334396",(42.28725444, -71.1334396),42.28725444,-71.1334396,2131
130544389,SSTOP ,PubDrink,PubDrink,C11,0,8/28/2013 16:29,Unarmed,No,No,First,2013,8,Wednesday,Part Two,774810.2974,2934852.339,CHARLES ST,,"42.30054739, -71.06143409",(42.30054739, -71.06143409),42.30054739,-71.06143409,2122
120737562,ARREST,OPERATING UNDER INFLUENCE,21xx,E13,649,11/24/2012 3:09,Other,No,No,Last,2012,11,Saturday,Part Two,760156.3196,2937982.731,CENTRE ST,SOUTH ST,"42.30933136, -71.11554955",(42.30933136, -71.11554955),42.30933136,-71.11554955,2130
120484359,ARREST,PubDrink,PubDrink,E13,304,8/5/2012 13:15,Unarmed,No,No,Day,2012,8,Sunday,Part Two,764696.9253,2940201.124,WASHINGTON ST,,"42.31536135, -71.09872455",(42.31536135, -71.09872455),42.31536135,-71.09872455,2119
140212292,DK    ,PubDrink,PubDrink,E13,572,4/8/2014 15:41,Unarmed,No,No,Day,2014,4,Tuesday,Part Two,764696.9253,2940201.124,WASHINGTON ST,,"42.31536135, -71.09872455",(42.31536135, -71.09872455),42.31536135,-71.09872455,2119
142031823,IVPER,PubDrink,PubDrink,E13,0,6/22/2014 11:36,Unarmed,No,No,Day,2014,6,Sunday,Part Two,764765.4479,2940296.197,ATHERTON ST,WASHINGTON ST,"42.31562136, -71.09846955",(42.31562136, -71.09846955),42.31562136,-71.09846955,2119
142030122,ARREST,PubDrink,PubDrink,E13,0,9/16/2014 20:58,Unarmed,No,No,First,2014,9,Tuesday,Part Two,764765.4479,2940296.197,ATHERTON ST,WASHINGTON ST,"42.31562136, -71.09846955",(42.31562136, -71.09846955),42.31562136,-71.09846955,2119
140249185,ARREST,PubDrink,PubDrink,C11,240,4/24/2014 12:45,Unarmed,No,No,Day,2014,4,Thursday,Part Two,774545.4197,2941896.763,COLUMBIA RD,,"42.31988135, -71.06227956",(42.31988135, -71.06227956),42.31988135,-71.06227956,2125
120695133,ARREST,OPERATING UNDER INFLUENCE,21xx,B2,237,11/4/2012 1:00,Other,No,No,Last,2012,11,Sunday,Part Two,774629.8135,2942052.077,COLUMBIA RD,,"42.32030635, -71.06196456",(42.32030635, -71.06196456),42.32030635,-71.06196456,2125
