LICENSENO,BUSINESSNAME,DBANAME,COMMENTS,LOCATIONCOMMENTS,ISSDTTM,EXPDTTM,LICSTATUS,LICCAT,LICCATDESC,OPENING,CLOSING,PATRONSOUT,CAPACITY,PRIMAPPLICANT,PHONE,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,LT,LO,Latitude,Longitude
LB-101639,"NKOTB Lessee, LLC",REVERE HOTEL/EMERALD LOUNGE,PATIO CONDITIONS: (1) Alcoholic beveragesto be servedonly in conjunction with food. (2) Agreement with Bay Village N.A. is hereby incorporatedby reference. (3) Patio to close at midnight. Bottle service approved (4/25/12).,IN WHOLE OF SAID BUILDING; (RADISSON HOTEL)  ENTRANCE & EXITS FROM STUART STREET & PORTICO  INCLUDING OUTSIDE PATIO AREAS  RESTAURANT  CONVENTION/CONFERENCE CENTER - THEATRE  POOL  DECK AREA  HOTEL ROOMS & FUNCTION ROOMS 3 BANQUET ROOMS & ADJACENT HALL KITCHEN & STORAGE AREAS ON MEZZANINE  BACK STAI,2013-11-13,2016-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"NKOTB Lessee, LLC",(617)482-1800,196,200,  Stuart ST,Boston,MA,02116,"(0.0, 0.0)",42.35079,-71.067541,42.35079,-71.06754
LB-101646,"H AND H, LLC",HARBORSIDE INN,The Board granted the petition to provide Bottle Service on the licensed premises.,IN WHOLE OF SAID BUILDING INCLUDING 2 ROOMS ON FIRST FLOOR FOR OPERATION OF HOTEL LOUNGE UNTIL 2:00 A.M. AND ANNUAL OUTDOOR PATIO ON PUBLIC PROPERTY WITH AN 11:00 P.M. CLOSING HOUR FOR 72 PATRONS.  (SEE ISD CERTIFICATE FOR A MORE COMPLETE DESCRIPTION OF CAPACITY.),2013-11-15,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"H AND H, LLC",NULL,185,187,  State ST,Boston,MA,02109,"(0.0, 0.0)",42.359242,-71.052924,42.359242,-71.05292
LB-101653,"THE RITZ CARLTON HOTEL COMPANY, LLC",THE RITZ CARLTON,10:00 A.M. OPENING ON SUNDAYS FOR THE SALE OF ALCOHOLIC BEVERAGES WITH BRUNCH.,"In whole of said building includes bar in lobby area and excludes that portion of the premises leased to Washington D.C. Sports Club  Inc. located in the ""South Block"" of the licensed Innholder premises on floors 4 and 4m (Mezzanine) and bounded by",2013-11-26,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,NULL,0,"THE RITZ CARLTON HOTEL COMPANY, LLC",NULL,1,2,  Avery ST,Boston,MA,02111,"(0.0, 0.0)",42.35326,-71.062537,42.35326,-71.06253
LB-101666,PYRAMID FENWAY MANAGEMENT LLC,FENWAY MARRIOTT RESIDENCE INN HOTEL,NONE,IN WHOLE OF SAID BUILDING INCLUDING LOBBY BAR  175 GUEST ROOMS  LOUNGE  MEETING SPACE AND OUTDOOR TERRACE ON 8TH FLOOR.  ENTRANCE ON BROOKLINE AVENUE WITH EMERGENCY EXITS ON BURLINGTON STREET.,2013-11-26,2015-12-31,Active,INNAL,Inn. All Alc.,NULL,2:00 AM,2:30 AM,0,PYRAMID FENWAY MANAGEMENT LLC,NULL,125,,  Brookline AV,Boston,MA,02215,"(0.0, 0.0)",42.345823,-71.100577,42.345823,-71.10057
LB-101672,AMES COURT STREET HOTEL LLC,King Street Tavern,OPERATING HOURS OF OUTDOOR SEASONAL PATIO/TERRACE ARE 9:00 A.M.-12:00 A.M. THE BOARD GRANTED PERMISSION TO UTILIZE TEMPORARY ROLL AWAY SERVICE BAR ON PATIO.,IN WHOLE OF SAID BUILDING.  INCLUDES AN OUTDOOR SEASONAL (APRIL-OCTOBER) TERRACE/PATIO FOR 60 PATRONS. MANAGEMENT AGREEMENT BETWEEN AMES COURT STREET HOTEL LLC  AS LICENSEE AND JB BOSTON KING STREET LLC  AS OPERATOR.,2013-12-02,2016-12-31,Active,INNALR,Inn. All Alc. Restrict.,NULL,2:00 AM,NULL,0,AMES COURT STREET HOTEL LLC,NULL,1,,Court St,Boston,MA,02108,"(0.0, 0.0)",42.359014,-71.058012,42.359014,-71.05801
LB-116108,NORWICH PARTNERS FOOD AND BEVERAGE LLC,Residence Inn by Marriot,Restricted license per chapter 383 of the acts of 2006.,In whole of said building. 120 room hotel with seating in the main lobby plus a meeting room.,2013-12-03,2015-12-31,Active,INNALR,Inn. All Alc. Restrict.,NULL,2:00 AM,2:30 AM,0,NORWICH PARTNERS FOOD AND BEVERAGE LLC,NULL,370,,  Congress ST,Boston,MA,02127,"(0.0, 0.0)",42.350349,-71.047717,42.350349,-71.04771
LB-123817,ROXY'S GRILLED CHEESE ALLSTON LLC,Roxy's Grilled Cheese,NONE,Kitchen  counter seating  and tables in one room on ground floor with storage in basement underneath.,2014-05-16,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,11:00 PM,11:30 p.m.,19,Roxy's Grilled Cheese Allston LLC,(781)632-7222,485,,  Cambridge ST,Allston,MA,02134,"(0.0, 0.0)",42.353715,-71.137096,42.353715,-71.13709
LB-124583,"COMPASS GROUP USA, INC.",NULL,NONE,Premise is a passenger lounge for British Airways with a total square footage of 6 462 sq. ft.  two entrances and exits  a total occupancy number of 150 and maximum seating capacity of 150.,2013-12-27,2015-12-31,Active,CV7ALA,CV7 All Alc. Airp.,NULL,11:00 PM,11:30 P.M.,150,"COMPASS GROUP USA, INC",(617)561-0211,500,,  Logan Airport ,East Boston,MA,02128,"(0.0, 0.0)",42.368577,-71.022801,42.368577,-71.02280
LB-124751,"LITTLE Q COMPANY, INC.","Little Q Hot Pot, Sushi Bar and Lounge",NONE,In one room on ground floor; entrance on Washington and exits to Beach Street and building common area; kitchen and storage in the rear.,2014-01-15,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 a.m.,78,"Little Q Company, Inc.",(626)807-7739,660,,  Washington ST,Boston,MA,02111,"(0.0, 0.0)",42.351842,-71.06243,42.351842,-71.0624
LB-125807,"Boston's Best Seafood and BBQ,LLC",Il Panino Cafe and Grill,Restricted license.,In one room on the first floor with storage in the rear. Including an outdoor seasonal patio for eight patrons between the hours of 8:00 a.m. - 9:00 p.m.,2014-03-03,2015-12-31,Active,CV7MWLR,CV7 Malt Wine Liq. Restrict.,NULL,11:00 PM,11:30 p.m.,24,"BOSTON'S BEST SEAFOOD AND BBQ, LLC",NULL,268,,  Centre ST,Jamaica Plain,MA,02130,"(0.0, 0.0)",42.322691,-71.100839,42.322691,-71.10083
LB-126366,"ZAZ RESTAURANT & CATERING, CORP.",NULL,NONE,ONE LARGE ROOM WITH SEATING AREA IN THE FRONT  KITCHEN IN THE BACK AND BASEMENT FOR STORAGE.  TWO EXITS ARE IN THE FRONT AND ONE IN THE BACK.,2015-05-19,2016-12-31,Active,CV7MWR,CV7 Malt Wine Restrict.,NULL,9:30 PM,NULL,19,ZAZ RESTAURANT & CATERING CORPORATION,(617)272-3083,1238,,  River ST,Hyde Park,MA,02136,"(0.0, 0.0)",42.255717,-71.123019,42.255717,-71.12301
LB-128814,"LA CATRINA, LLC",La Catrina,NONE,In one room on the first floor with kitchen in the rear  and storage and prep area in the basement.,2014-11-20,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,11:00 PM,11:30 p.m.,19,La Catrina LLC,(617)383-5015,1620,,  Commonwealth AV,Brighton,MA,02135,"(0.0, 0.0)",42.343211,-71.142756,42.343211,-71.14275
LB-135032,Henry's Garrett Catering LLC,Dot 2 DotCafe,NONE,One large room  kitchen in rear  storage in basement with entrance/exit to front of building.,2015-01-23,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,10:00 PM,10:30 p.m.,40,Henry's Garrett Catering LLC,(617)436-2368,1739,,  Dorchester AV,Dorchester,MA,02124,"(0.0, 0.0)",42.290949,-71.063056,42.290949,-71.06305
LB-135812,"JV Kitchen, LLC",Sea Breeze Mexican Grill,NONE,720 square foot restaurant with 6 tables and 18 seats. In one room with kitchen  basement for storage.,2015-01-22,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,12:00 AM,12:30 PM,18,JV Kitchen LLC,(617)331-1919,1782,,  Dorchester AV,Dorchester,MA,02124,"(0.0, 0.0)",42.289569,-71.063074,42.289569,-71.06307
LB-138284,"JUNG ENTERPRISE, INC.",@ Union,NONE,In one room on the first floor with kitchen in the rear and storage in the basement.,2015-03-31,2015-12-31,Active,CV7MWN,CV7MWN - Neighborhood Restricted,NULL,10:00 PM,10:30 PM,46,"Jung Enterprises, Inc.",NULL,174,,  Harvard AV,Allston,MA,02134,"(0.0, 0.0)",42.351324,-71.13128,42.351324,-71.1312
LB-138437,"August Summer Group, LLC",Totto Ramen,NONE,Counter top with open kitchen behind it  prep area in basement  and on first floor.,2015-02-18,2015-12-31,Active,CV7MW,CV7 Malt Wine,NULL,12:00 AM,12:30 AM,32,August Summer Group LLC,(617)202-5075,169,,  Brighton AV,Allston,MA,02134,"(0.0, 0.0)",42.353286,-71.132994,42.353286,-71.13299
LB-139871, ,CABANA GRILL,1. MALT AND WINE BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH MEALS.1 POOL TABLE.,In one room and kitchen on the first floor; one room and kitchen on the second floor; cellar for stock.,2015-02-05,2015-12-31,Active,CV7MWL,CV7 Malt Wine Liq.,NULL,1:00 AM,1:30 AM,87,"Cabana Restaurant, LLC",NULL,254,,  Bennington ST,East Boston,MA,02128,"(0.0, 0.0)",42.378609,-71.029363,42.378609,-71.02936
LB-98792,"TWENTY-FOUR EIGHTEEN CLUB, INC.",NULL,,Rear and side exits for emergency and stock; In one room on first floor; One room in basement for storage.,2013-11-29,2015-12-31,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,215,"TWENTY-FOUR EIGHTEEN CLUB, INC.",NULL,18,24,  Washington ST,Boston,MA,02121,"(0.0, 0.0)",42.307764,-71.082631,42.307764,-71.08263
LB-98793,BRIGHTON MASS. LODGE #2199 OF THE BENEVOLENT &,PROTECTIVE ORDER OF ELKS,,LICENSEE KNOWN AS BRIGHTON MASS. LODGE # 2199 OF THE BENEVOLENT & PROTECTIVE ORDER OF ELKS IS IN WHOLE OF SAID BUILDING.  CAPACITY BREAKDOWN: FUNCTION ROOM - 143; MEMBERS' ROOM - 59; GUESTS' ROOM - 38.,2013-11-21,2015-12-31,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,240,PROTECTIVE ORDER OF ELKS BRIGHTON MASS. LODGE #2199 OF THE BENEVOLENT &,NULL,326,,  Washington ST,Brighton,MA,02135,"(0.0, 0.0)",42.348836,-71.152011,42.348836,-71.15201
LB-98802,"EMERALD SOCIETY OF THE BPD, INC.",NULL,NONE,In one room on the first floor with storage in the basement.,2013-11-29,2015-12-31,Active,CLBAL,Clb. All Alc.,NULL,2:00 AM,2:30 AM,99,"EMERALD SOCIETY OF THE BPD, INC.",NULL,10,,  Birch ST,Roslindale,MA,02131,"(0.0, 0.0)",42.286909,-71.129981,42.286909,-71.12998
LB-98812,"Tavern in the Square South Station, LLC",Tavern in the Square,NONE,NONE,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,49,"Tavern in the Square South Station, LLC",NULL,1,,  South Station  ,Boston,MA,02110,"(0.0, 0.0)",42.332598,-71.094684,42.332598,-71.09468
LB-98828,"IRISH SOCIAL CLUB, INC. OF BOSTON",NULL,License issued to this licensee only under special legislation  Chapter 282 of the Acts of 2012.,ENTRANCE ON PARK STREET AT FRONT OF BUILDING; TWO EXITS ON SIDE WALL  ONE EXIT ON REAR WALL  ONE FLOOR BUILDING; LARGE FUNCTION HALL AND LOUNGE; THREE ROOMS AND KITCHEN; CELLAR FOR STORAGE.,2013-11-25,2015-12-31,Active,CLBAL,Clb. All Alc.,NULL,1:00 AM,1:30 AM,659,"IRISH SOCIAL CLUB, INC. OF BOSTON",NULL,119,,  Park ST,West Roxbury,MA,02132,"(0.0, 0.0)",42.284389,-71.15559,42.284389,-71.1555
LB-98832,BPD POST #1018 VETERANS-FOREIGN WARS/USA,NULL,No transfer of ownership  Ch 1161  Acts of l973  License originally issued l976,IN WHOLE OF SAID BUILDING.,2013-12-05,2015-12-31,Active,CLBALV,Clb. All Alc. Vet.,NULL,2:00 AM,2:30 AM,181,BPD POST #1018 VETERANS-FOREIGN WARS/USA,NULL,500,,  Morton ST,Dorchester,MA,02124,"(0.0, 0.0)",42.29129,-71.095455,42.29129,-71.09545
LB-98889,"NOCHE-BNV III, INC.",WINK & NOD,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM: 11AM TO NOON. A.) AGREEMENT WITH NEIGHBORHOOD GROUP INCORPORATED BY REFERENCE.,Two rooms & kitchen with storage on first floor entrance/ exit at #3 Appleton Street & exit to alley.  3 Brigham Circle  BOSTON  MA  02116,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,159,"NOCHE-BNV III, INC.",NULL,3,,  Appleton ST,Boston,MA,02116,"(0.0, 0.0)",42.346707,-71.069752,42.346707,-71.06975
LB-98892,"Tia's Waterfront, LLC",TIA'S WATERFRONT,1. Alcoholic to be served only in conjunction with brunch on Sunday from: 11:00 AM to Noon. 2. Bar area as per plan submitted.,In one room  kitchen and storage on the first floor; With entrance on Waterfront Park and two exits on Waterfront Park and exit on Atlantic Ave; One patio on North side and East and to add a 3rd outdoor seasonal patio between the hours of 11:00 a.m. - Midnight for 40 patrons.  Capacity breakdown: in,2013-11-20,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,260,"TIA'S WATERFRONT, LLC",(617)737-2366,200,,  Atlantic AV,Boston,MA,02110,"(0.0, 0.0)",42.360246,-71.051301,42.360246,-71.05130
LB-98893,THE BOSTON LECO CORP.,NULL,(1) Must use mechanical counters to maintain occupancy numbers. (2) May provide bottle service.,IN TWO ROOMS AND KITCHEN ON 1ST BASEMENT LEVEL (FORMERLY FIRST FLOOR) WITH STAGE IN ONE ROOM (GUILT NIGHTCLUB/CANDIBAR); ADDITIONAL ENTRANCE AT 275 TREMONT STREET BOSTON  MA 02116. CAPACITY FOR CANDIBAR IS 337; CAPACITY FOR GUILT NIGHTCLUB IS 409 PERSONS.,2013-11-22,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,746,THE BOSTON LECO CORP.,NULL,71,79,  Warrenton ST,Boston,MA,02116,"(0.0, 0.0)",42.349873,-71.065937,42.349873,-71.06593
LB-98894,"CALLEJAS, INC.",LA HACIENDA,1.) Service of Alcohol on Sundays at 10:00 A.M. with brunch.,In six rooms on the first floor with kitchen service area and storage in the basement.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,99,"CALLEJAS, INC.",NULL,144,150,  Meridian ST,East Boston,MA,02128,"(0.0, 0.0)",42.373892,-71.039083,42.373892,-71.03908
LB-98901,"LEGENDARY FOOD CONCEPTS, INC.",SCOLLAY SQUARE,1) 11:00 P.M. CLOSING ON THE PATIO. 2) 7:00 A.M. OPENING MONDAY THROUGH SUNDAY. 3) ALCOHOL SERVICE TO BEGIN AT 11:00 A.M. SUNDAY THROUGH SATURDAY.4) SERVICE OF ALCOHOL ON SUNDAYS MAY BEGIN AT 10:00 A.M. WITH BRUNCH.,21 Beacon Street  Suite G-5: in one room and kitchen on the first floor; storage and preparation room in basement.  Includes seasonal outdoor patio for 63 patrons.,2013-11-27,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,90,"LEGENDARY FOOD CONCEPTS, INC.",NULL,21,,  Beacon ST,Boston,MA,02108,"(0.0, 0.0)",42.358149,-71.062532,42.358149,-71.06253
LB-98902,"MILE 22, INC.",CITYSIDE IN THE CIRCLE,ALCOHOLIC BEVERAGES TO BE SERVED ONLY IN CONJUNCTION WITH BRUNCH ON SUNDAYS FROM: 11AM TO NOON.,In two rooms and kitchen on the first floor; one room on the second floor; cellar for stock with a seasonal dining area on the outside deck.  CAPACITY BREAKDOWN: 1st floor maximum capacity 100.  2nd floor maximum capacity 140.,2013-11-29,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,240,"MILE 22, INC.",NULL,1958,1960,  Beacon ST,Brighton,MA,02135,"(0.0, 0.0)",42.336096,-71.150318,42.336096,-71.15031
LB-98903,"GEORGE ASSOCIATES, INC.",MCGANN'S PUB,ALCOHOLIC BEVARAGES TO BE SERVED IN CONJUNCTION WITH BRUNCH ON SUNDAYS 10:00 A.M.,In one room and kitchen on the first floor  with entrance on Portland St.  and emergency exit to alley in rear and to main building lobby and cellar for stock.,2013-11-22,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,180,"GEORGE ASSOCIATES, INC.",NULL,197,,  Portland ST,Boston,MA,02114,"(0.0, 0.0)",42.364512,-71.061731,42.364512,-71.06173
LB-98911,"COSMOPOLITAN LOUNGE, INC.",COSMOPOLITAN LOUNGE,,Rear entrance to cellar for stock; in two rooms and kitchen first floor; cellar for stock.,2013-11-21,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,94,"COSMOPOLITAN LOUNGE, INC.",NULL,276,278,  Bennington ST,East Boston,MA,02128,"(0.0, 0.0)",42.378819,-71.02905,42.378819,-71.0290
LB-98915,"LEGAL SEA FOODS, LLC",LEGAL CROSSING or LX,10:00 A.M. OPENING ON SUNDAYS FOR ALCOHOL SERVICE WITH BRUNCH.,Restaurant (including take-out service of food and non-alcoholic beverages) and service of food  alcoholic and non-alcoholic beverages in a private residential club. Both the restaurant and private residential club are located on the ground floor of a,2014-01-14,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,175,"LEGAL SEA FOODS, LLC",NULL,558,,  Washington ST,Boston,MA,02111,"(0.0, 0.0)",42.353614,-71.062101,42.353614,-71.06210
LB-98918,"RAW RESTAURANT GROUP, LLC",MIJA,NONE,A RESTAURANT AT GROUND LEVEL ON THE NORTH SIDE OF THE BUILDING  WITH A SIDE PATIO ADJOINING ON THE STREET LEVEL (COVERED AND UNCOVERED).  THE RESTAURANT CONTAINS TWO ENTRANCES/EXITS.  THE KITCHEN AND STORAGE ARE LOCATED IN THE BASEMENT. CAPACITY INTERIOR  150   EXTERIOR 74.,2013-11-26,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,224,"RAW RESTAURANT GROUP, LLC",NULL,1,,Faneuil Hall Marketplace ,Boston,MA,02109,"(0.0, 0.0)",42.366062,-71.048291,42.366062,-71.04829
LB-98919,"BIG NIGHT VENUES BOSTON 2, LLC",EMPIRE,BOTTLE SERVICE ALLOWED.,PREMISES IS LOCATED ON THE FIRST FLOOR IN ONE LARGE ROOM WITH TWO SEPARATE ENTRANCES/EXITS.  KITCHEN IS LOCATED ON FAR RIGHT OF ROOM AND STORAGE IS BEHIND THE KITCHEN AREA. CAPACITY BREAKDOWN: 540 PERSONS TOTAL: 46- PERSONS BAR STOOLS; 215-PERSONS TABLE & CHAIRS; 297-PERSONS STANDING.  AND TO INCLUD,2013-11-25,2015-12-31,Active,CV7AL,CV7 All Alc.,NULL,2:00 AM,2:30 AM,540,"BIG NIGHT VENUES BOSTON 2, LLC",NULL,1,,  Marina Park DR,Boston,MA,02210,"(0.0, 0.0)",42.353199,-71.045355,42.353199,-71.04535
